NEU_NEU
TA-W1-A-1
TA-W1-A-2
TA-W1-A-3
TA-W1-A-4
TA-W1-A-5
TA-W1-A-6
TA-W1-A-7
TA-W1-B-1
TA-W1-B-2
TA-W1-B-3
TA-W1-B-4
TA-W1-B-5
TA-W1-B-6
TA-W1-B-7
TA-W1-C-1
TA-W1-C-2
TA-W1-C-3
TA-W1-C-4
TA-W1-C-5
TA-W1-C-6
TA-W1-C-7
TA-W1-D-1
TA-W1-D-2
TA-W1-D-3
TA-W1-D-4
TA-W1-D-5
TA-W1-D-6
TA-W1-D-7
TA-W1-E-1
TA-W1-E-2
TA-W1-E-3
TA-W1-E-4
TA-W1-E-5
TA-W1-E-6
TA-W1-E-7
TA-W1-F-1
TA-W1-F-2
TA-W1-F-3
TA-W1-F-4
TA-W1-F-5
TA-W1-F-6
TA-W1-F-7
TA-W1-G-1
TA-W1-G-2
TA-W1-G-3
TA-W1-G-4
TA-W1-G-5
TA-W1-G-6
TA-W1-G-7
TA-W2-A-1
TA-W2-A-2
TA-W2-A-3
TA-W2-B-1
TA-W2-B-2
TA-W2-B-3
TA-W2-C-1
TA-W2-C-2
TA-W2-C-3
TA-W2-D-1
TA-W2-D-2
TA-W2-D-3
TA-W2-E-1
TA-W2-E-2
TA-W2-E-3
TA-W2-F-1
TA-W2-F-2
TA-W2-F-3
TA-W2-G-1
TA-W2-G-2
TA-W2-G-3
TA-W3-A-1
TA-W3-A-2
TA-W3-A-3
TA-W3-B-1
TA-W3-B-2
TA-W3-B-3
TA-W3-C-1
TA-W3-C-2
TA-W3-C-3
TA-W3-D-1
TA-W3-D-2
TA-W3-D-3
TA-W3-E-1
TA-W3-E-2
TA-W3-E-3
TA-W3-F-1
TA-W3-F-2
TA-W3-F-3
TA-W3-G-1
TA-W3-G-2
TA-W3-G-3
TA-W4-A-1
TA-W4-A-2
TA-W4-A-3
TA-W4-A-4
TA-W4-A-5
TA-W4-A-6
TA-W4-A-7
TA-W4-B-1
TA-W4-B-2
TA-W4-B-3
TA-W4-B-4
TA-W4-B-5
TA-W4-B-6
TA-W4-B-7
TA-W4-C-1
TA-W4-C-2
TA-W4-C-3
TA-W4-C-4
TA-W4-C-5
TA-W4-C-6
TA-W4-C-7
TA-W4-C-8
TA-W4-C-9
TA-W4-D-1
TA-W4-D-2
TA-W4-D-3
TA-W4-D-4
TA-W4-D-5
TA-W4-D-6
TA-W4-D-7
TA-W4-D-8
TA-W4-D-9
TA-W4-E-1
TA-W4-E-2
TA-W4-E-3
TA-W4-E-4
TA-W4-E-5
TA-W4-E-6
TA-W4-E-7
TA-W4-F-1
TA-W4-F-2
TA-W4-F-3
TA-W4-F-4
TA-W4-F-5
TA-W4-F-6
TA-W4-F-7
TA-W4-G-1
TA-W4-G-2
TA-W4-G-3
TA-W4-G-4
TA-W4-G-5
TA-W4-G-6
TA-W4-G-7
TA-W4-G-8
